Row Number,Number of Rooms,Size (m²),Floor,Price,District,Address,Date,Latitude,Longitude,Link
53,2.0,61.5,4,40 000 000 〒,Есильский р-н," проспект Аль-Фараби 18, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006736612
54,2.0,40.0,,20 000 000 〒,Алматы р-н," Калдаякова 26/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007123892
55,2.0,68.43,,от 57 002 190 〒,Нура р-н," Бухар жырау 20, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/697909163
56,2.0,88.58,,от 97 703 740 〒,Есильский р-н," ул. Мангилик Ел, 57, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000673326
57,4.0,107.12,,от 70 699 200 〒,Есильский р-н," ул. Жошы хан, 10, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1000510876
58,3.0,105.02,,от 82 125 640 〒,Нура р-н," Е-899 5/1, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/760697979
59,2.0,76.1,8,40 500 000 〒,Есильский р-н," Мангилик Ел 17 — Мангилик Ел -Алматы, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1005527618
60,2.0,75.83,,от 54 900 920 〒,Есильский р-н," ​Аль-Фараби 3/2, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004370014
61,4.0,117.6,,от 54 658 598 〒,Нура р-н," Култегин 4, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1001372150
62,3.0,91.0,13,80 000 000 〒,Сарайшык р-н," Калдаяков — Пирамида, Нац.Музей, Площадь Мангилик ел, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1003855744
63,4.0,107.0,6,62 900 000 〒,Сарайшык р-н," Калибек Куанышбаев, — Нәжімеденов+ Қасым аманжол, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004474794
64,2.0,54.4,6,29 600 000 〒,Есильский р-н," Сауран 4, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1004426191
65,2.0,73.5,4,38 000 000 〒,Сарыарка р-н," Сарыарка 1б, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006126321
66,1.0,40.0,5,24 500 000 〒,Нура р-н," Кайыма Мухамедханова 19, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1007019280
67,2.0,44.0,6,35 000 000 〒,Нура р-н," Е-36 11, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006976403
68,3.0,90.5,14,40 444 505 〒,Алматы р-н," Бейсекбаева 2 — Иманова Бейсекбаева, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006260726
69,1.0,34.5,7,22 600 000 〒,Алматы р-н," Янушкевича 10, Астана, Казахстан",N/A,,,https://krisha.kz/a/show/1006968047
